s001_b01,"[1, 5]"
s001_b02,"[2, 5]"
s001_b03,"[2, 3]"
s003_b01,"[9, 4]"
s003_b02,"[7, 5]"
s003_b03,"[6, 5]"
s005_b01,"[0, 5]"
s005_b02,"[0, 3]"
s005_b03,"[0, 3]"
s006_b01,"[3, 7]"
s006_b02,"[0, 8]"
s008_b01,"[4, 5]"
s008_b02,"[1, 3]"
s002_b01,[3]
s002_b02,[0]
s002_b03,"[6, 3]"
s004_b01,[]
s009_b01,"[5, 10]"
s004_b02,[9]
s004_b03,[]
s009_b02,[4]
s009_b03,[3]
s010_b01,[5]
s010_b02,"[8, 2]"
s010_b03,"[2, 6]"
s011_b01,[2]
s011_b02,[0]
s011_b03,"[6, 9]"
s012_b01,[8]
s012_b02,[]
s012_b03,[5]
s013_b01,[0]
s013_b02,[1]
s013_b03,[1]
s007_b02,[8]
s007_b03,[9]
s008_b03,[0]
